VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2024-05-01T06:09:05.000+05:30,2024-05-01T06:29:51.000+05:30,1,4.9,1,N,233,7,2,18.5,3,0.5,0,0,0.3,22.3,2.5,0
1,2024-05-01T06:09:18.000+05:30,2024-05-01T06:23:51.000+05:30,1,2.7,1,N,148,186,1,11.5,3,0.5,3.8,0,0.3,19.1,2.5,0
1,2024-05-01T06:15:42.000+05:30,2024-05-01T06:20:23.000+05:30,1,1,1,N,48,68,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5,0
2,2024-05-01T06:09:56.000+05:30,2024-05-01T06:28:18.000+05:30,1,3.52,1,N,237,143,1,14.5,0.5,0.5,4.58,0,0.3,22.88,2.5,0
2,2024-05-01T06:11:18.000+05:30,2024-05-01T06:23:14.000+05:30,1,2.03,1,N,232,107,1,10,0.5,0.5,10,0,0.3,23.8,2.5,0
2,2024-05-01T05:38:45.000+05:30,2024-05-01T05:50:26.000+05:30,2,2.51,1,N,263,151,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5,0
2,2024-05-01T06:02:13.000+05:30,2024-05-01T06:10:32.000+05:30,1,2.04,1,N,142,239,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
2,2024-05-01T06:24:18.000+05:30,2024-05-01T06:39:50.000+05:30,1,2.75,1,N,48,234,1,12.5,0.5,0.5,2.5,0,0.3,18.8,2.5,0
2,2024-05-01T05:37:50.000+05:30,2024-05-01T06:11:31.000+05:30,1,5.57,1,N,234,7,1,24.5,0.5,0.5,0,0,0.3,28.3,2.5,0
1,2024-05-01T05:30:00.000+05:30,2024-05-01T05:48:42.000+05:30,1,2.6,1,N,114,79,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5,0
1,2024-05-01T05:50:19.000+05:30,2024-05-01T06:07:13.000+05:30,1,2.3,1,N,79,88,2,12,3,0.5,0,0,0.3,15.8,2.5,0
1,2024-05-01T06:02:43.000+05:30,2024-05-01T06:10:22.000+05:30,1,0.9,1,N,148,87,4,6.5,3,0.5,0,0,0.3,10.3,2.5,0
2,2024-05-01T05:57:50.000+05:30,2024-05-01T06:11:36.000+05:30,1,3.07,1,N,142,75,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5,0
2,2024-05-01T05:54:59.000+05:30,2024-05-01T06:22:10.000+05:30,1,5.68,1,N,163,129,1,22,0.5,0.5,5,0,0.3,30.8,2.5,0
1,2024-05-01T05:37:29.000+05:30,2024-05-01T05:49:43.000+05:30,3,1.3,1,N,107,79,1,9,3,0.5,2.55,0,0.3,15.35,2.5,0
1,2024-05-01T06:17:39.000+05:30,2024-05-01T06:21:52.000+05:30,1,0.6,1,N,161,162,2,5,3,0.5,0,0,0.3,8.8,2.5,0
2,2024-05-01T06:19:15.000+05:30,2024-05-01T06:51:35.000+05:30,1,16.9,1,N,132,145,1,48,0.5,0.5,5,0,0.3,55.55,0,1.25
2,2024-05-01T05:24:12.000+05:30,2024-05-01T05:31:18.000+05:30,1,1.02,1,N,144,261,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,2024-05-01T05:37:06.000+05:30,2024-05-01T05:48:09.000+05:30,1,1.67,1,N,125,90,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
2,2024-05-01T05:48:51.000+05:30,2024-05-01T06:01:33.000+05:30,1,1.86,1,N,90,231,1,9.5,0.5,0.5,2,0,0.3,15.3,2.5,0
2,2024-05-01T06:03:24.000+05:30,2024-05-01T06:08:27.000+05:30,1,1.21,1,N,231,249,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0
2,2024-05-01T05:38:13.000+05:30,2024-05-01T06:06:45.000+05:30,1,4.14,1,N,163,226,1,20.5,0.5,0.5,4.86,0,0.3,29.16,2.5,0
2,2024-05-01T05:47:08.000+05:30,2024-05-01T05:58:41.000+05:30,1,1.96,1,N,239,48,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5,0
2,2024-05-01T05:59:53.000+05:30,2024-05-01T06:06:31.000+05:30,1,0.94,1,N,163,142,1,6,0.5,0.5,1,0,0.3,10.8,2.5,0
2,2024-05-01T06:08:03.000+05:30,2024-05-01T06:11:03.000+05:30,1,0.48,1,N,142,239,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5,0
2,2024-05-01T06:19:15.000+05:30,2024-05-01T06:25:21.000+05:30,1,1.33,1,N,48,68,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,2024-05-01T06:29:13.000+05:30,2024-05-01T06:43:31.000+05:30,1,2.22,1,N,90,144,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5,0
2,2024-05-01T06:02:32.000+05:30,2024-05-01T06:32:09.000+05:30,1,16.4,1,N,132,255,1,46,0.5,0.5,9.46,0,0.3,58.01,0,1.25
2,2024-05-01T05:45:02.000+05:30,2024-05-01T06:00:19.000+05:30,2,2.94,1,N,141,79,1,12.5,0.5,0.5,2.93,0,0.3,19.23,2.5,0
2,2024-05-01T06:01:52.000+05:30,2024-05-01T06:23:58.000+05:30,2,4.69,1,N,79,112,1,18.5,0.5,0.5,6.69,0,0.3,28.99,2.5,0
2,2024-05-01T05:33:16.000+05:30,2024-05-01T05:44:10.000+05:30,1,3.31,1,N,137,263,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
2,2024-05-01T05:47:56.000+05:30,2024-05-01T06:00:53.000+05:30,1,2.89,1,N,263,48,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
2,2024-05-01T06:03:15.000+05:30,2024-05-01T06:06:57.000+05:30,1,0.68,1,N,48,48,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5,0
1,2024-05-01T06:26:00.000+05:30,2024-05-01T06:31:00.000+05:30,2,1.2,1,N,142,239,1,6,3,0.5,2.9,0,0.3,12.7,2.5,0
2,2024-05-01T05:56:05.000+05:30,2024-05-01T06:00:48.000+05:30,1,1.49,1,N,140,229,1,6.5,0.5,0.5,3.09,0,0.3,13.39,2.5,0
2,2024-05-01T06:01:50.000+05:30,2024-05-01T06:11:31.000+05:30,1,2.37,1,N,229,236,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
2,2024-05-01T06:17:08.000+05:30,2024-05-01T06:28:18.000+05:30,5,1.75,1,N,148,114,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
2,2024-05-01T06:29:34.000+05:30,2024-05-01T06:37:40.000+05:30,5,0.8,1,N,114,148,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,2024-05-01T06:39:39.000+05:30,2024-05-01T06:53:49.000+05:30,5,2.62,1,N,148,233,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
2,2024-05-01T05:38:27.000+05:30,2024-05-01T05:53:43.000+05:30,2,2.57,1,N,231,79,1,12,0.5,0.5,3.95,0,0.3,19.75,2.5,0
2,2024-05-01T05:56:32.000+05:30,2024-05-01T06:37:56.000+05:30,2,8.09,1,N,79,168,2,32.5,0.5,0.5,0,0,0.3,36.3,2.5,0
2,2024-05-01T05:34:15.000+05:30,2024-05-01T06:19:15.000+05:30,1,21.5,5,N,132,265,1,120,0,0,26.41,11.75,0.3,158.46,0,0
2,2024-05-01T05:39:30.000+05:30,2024-05-01T05:47:37.000+05:30,2,2.74,1,N,262,170,1,10,0.5,0.5,1.38,0,0.3,15.18,2.5,0
2,2024-05-01T05:48:32.000+05:30,2024-05-01T06:00:33.000+05:30,2,4.52,1,N,233,87,1,15.5,0.5,0.5,4.82,0,0.3,24.12,2.5,0
2,2024-05-01T06:07:06.000+05:30,2024-05-01T06:19:50.000+05:30,2,2.3,1,N,87,113,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0
2,2024-05-01T06:20:55.000+05:30,2024-05-01T06:28:37.000+05:30,2,1.08,1,N,113,224,1,7,0.5,0.5,1,0,0.3,11.8,2.5,0
2,2024-05-01T05:38:34.000+05:30,2024-05-01T05:55:20.000+05:30,1,1.84,1,N,125,87,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5,0
2,2024-05-01T06:01:15.000+05:30,2024-05-01T06:12:30.000+05:30,1,1.83,1,N,87,125,1,9.5,0.5,0.5,1.7,0,0.3,15,2.5,0
2,2024-05-01T06:14:49.000+05:30,2024-05-01T06:33:04.000+05:30,1,2.58,1,N,211,87,1,13,0.5,0.5,0,0,0.3,16.8,2.5,0
2,2024-05-01T05:47:49.000+05:30,2024-05-01T06:13:02.000+05:30,4,4.33,1,N,79,33,1,19,0.5,0.5,4.56,0,0.3,27.36,2.5,0
2,2024-05-01T06:27:39.000+05:30,2024-05-01T06:55:22.000+05:30,3,9.17,1,N,231,198,1,29.5,0.5,0.5,8.32,0,0.3,41.62,2.5,0
1,2024-05-01T05:53:16.000+05:30,2024-05-01T06:19:32.000+05:30,1,11,1,N,132,61,1,32.5,1.75,0.5,7,0,0.3,42.05,0,1.25
2,2024-05-01T05:26:26.000+05:30,2024-05-01T05:36:06.000+05:30,1,1.3,1,N,161,48,2,8,0.5,0.5,0,0,0.3,11.8,2.5,0
2,2024-05-01T05:38:41.000+05:30,2024-05-01T05:43:11.000+05:30,1,1.11,1,N,50,143,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5,0
2,2024-05-01T05:52:46.000+05:30,2024-05-01T06:30:07.000+05:30,1,28.08,1,N,132,181,1,73.5,0.5,0.5,22.82,0,0.3,98.87,0,1.25
1,2024-05-01T05:44:22.000+05:30,2024-05-01T05:57:05.000+05:30,2,1.7,1,N,141,170,1,9.5,3,0.5,1,0,0.3,14.3,2.5,0
1,2024-05-01T06:01:26.000+05:30,2024-05-01T06:23:02.000+05:30,1,4.5,1,N,107,97,1,18,3,0.5,4.35,0,0.3,26.15,2.5,0
2,2024-05-01T05:33:08.000+05:30,2024-05-01T06:23:21.000+05:30,1,8.54,1,N,90,223,1,35,0.5,0.5,0,0,0.3,38.8,2.5,0
2,2024-05-01T06:11:02.000+05:30,2024-05-01T06:27:22.000+05:30,1,3.44,1,N,164,262,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5,0
2,2024-05-01T05:41:48.000+05:30,2024-05-01T06:04:02.000+05:30,1,5.3,1,N,141,148,1,20,0.5,0.5,4.76,0,0.3,28.56,2.5,0
2,2024-05-01T05:44:10.000+05:30,2024-05-01T05:52:33.000+05:30,1,1.68,1,N,79,170,1,8,0.5,0.5,2,0,0.3,13.8,2.5,0
2,2024-05-01T05:42:08.000+05:30,2024-05-01T05:52:04.000+05:30,3,1.29,1,N,144,234,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0
2,2024-05-01T05:52:36.000+05:30,2024-05-01T06:12:01.000+05:30,1,4.13,1,N,234,262,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5,0
2,2024-05-01T06:22:07.000+05:30,2024-05-01T06:32:44.000+05:30,1,2.83,1,N,141,79,4,-10.5,-0.5,-0.5,0,0,-0.3,-14.3,-2.5,0
2,2024-05-01T06:22:07.000+05:30,2024-05-01T06:32:44.000+05:30,1,2.83,1,N,141,79,4,10.5,0.5,0.5,0,0,0.3,14.3,2.5,0
2,2024-05-01T05:30:19.000+05:30,2024-05-01T05:43:34.000+05:30,1,2.52,1,N,238,42,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
2,2024-05-01T05:45:57.000+05:30,2024-05-01T06:04:30.000+05:30,1,5.78,1,N,152,50,1,20.5,0.5,0.5,4.86,0,0.3,29.16,2.5,0
2,2024-05-01T06:08:47.000+05:30,2024-05-01T06:24:56.000+05:30,1,8.76,1,N,50,127,2,25.5,0.5,0.5,0,0,0.3,29.3,2.5,0
2,2024-05-01T05:35:51.000+05:30,2024-05-01T06:01:21.000+05:30,1,9.21,1,N,65,75,1,28.5,0.5,0.5,8.08,0,0.3,40.38,2.5,0
1,2024-05-01T05:43:19.000+05:30,2024-05-01T05:53:32.000+05:30,1,1.6,1,N,170,114,1,9,3,0.5,1,0,0.3,13.8,2.5,0
1,2024-05-01T05:55:17.000+05:30,2024-05-01T06:16:38.000+05:30,2,3.9,1,N,114,33,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5,0
2,2024-05-01T05:26:55.000+05:30,2024-05-01T05:31:19.000+05:30,1,1.04,1,N,239,151,1,5.5,0.5,0.5,2.32,0,0.3,11.62,2.5,0
2,2024-05-01T05:38:36.000+05:30,2024-05-01T05:51:04.000+05:30,1,2.04,1,N,239,48,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0
2,2024-05-01T05:51:05.000+05:30,2024-05-01T06:01:39.000+05:30,1,2.6,1,N,224,68,1,10,0.5,0.5,2,0,0.3,15.8,2.5,0
2,2024-05-01T06:15:54.000+05:30,2024-05-01T06:25:18.000+05:30,1,1.78,1,N,234,100,1,8.5,0.5,0.5,2,0,0.3,14.3,2.5,0
2,2024-05-01T06:29:40.000+05:30,2024-05-01T06:59:42.000+05:30,1,5.85,1,N,100,229,1,23.5,0.5,0.5,5.46,0,0.3,32.76,2.5,0
1,2024-05-01T05:34:45.000+05:30,2024-05-01T05:50:23.000+05:30,0,2.3,1,N,41,42,2,12,0.5,0.5,0,0,0.3,13.3,0,0
2,2024-05-01T06:05:45.000+05:30,2024-05-01T06:11:36.000+05:30,1,1.09,1,N,142,239,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0
2,2024-05-01T06:17:21.000+05:30,2024-05-01T06:33:09.000+05:30,1,2.5,1,N,239,140,1,12,0.5,0.5,3.95,0,0.3,19.75,2.5,0
2,2024-05-01T06:12:11.000+05:30,2024-05-01T06:26:12.000+05:30,1,2.83,1,N,262,143,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5,0
1,2024-05-01T05:41:09.000+05:30,2024-05-01T05:44:39.000+05:30,2,1.1,1,N,239,238,1,5,3,0.5,1.5,0,0.3,10.3,2.5,0
1,2024-05-01T05:52:34.000+05:30,2024-05-01T06:02:13.000+05:30,2,2.3,1,N,43,170,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5,0
1,2024-05-01T06:06:12.000+05:30,2024-05-01T06:14:48.000+05:30,1,2.1,1,N,170,141,1,9,3,0.5,2.56,0,0.3,15.36,2.5,0
1,2024-05-01T05:36:36.000+05:30,2024-05-01T06:03:08.000+05:30,2,4,1,N,148,225,1,19,3,0.5,4.55,0,0.3,27.35,2.5,0
1,2024-05-01T06:08:11.000+05:30,2024-05-01T06:13:54.000+05:30,1,1.2,1,N,225,177,2,6,0.5,0.5,0,0,0.3,7.3,0,0
2,2024-05-01T05:35:40.000+05:30,2024-05-01T05:43:50.000+05:30,1,0.83,1,N,264,249,1,6.5,0.5,0.5,1.03,0,0.3,11.33,2.5,0
2,2024-05-01T05:45:45.000+05:30,2024-05-01T05:57:45.000+05:30,1,1.31,1,N,264,79,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
2,2024-05-01T05:59:57.000+05:30,2024-05-01T06:04:37.000+05:30,1,0.31,1,N,264,264,4,-4.5,-0.5,-0.5,0,0,-0.3,-8.3,-2.5,0
2,2024-05-01T05:59:57.000+05:30,2024-05-01T06:04:37.000+05:30,1,0.31,1,N,264,79,4,4.5,0.5,0.5,0,0,0.3,8.3,2.5,0
2,2024-05-01T06:10:17.000+05:30,2024-05-01T06:18:49.000+05:30,1,1.28,1,N,264,249,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0
2,2024-05-01T06:24:35.000+05:30,2024-05-01T06:33:28.000+05:30,1,1.16,1,N,264,125,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5,0
2,2024-05-01T06:05:55.000+05:30,2024-05-01T06:17:18.000+05:30,1,1.69,1,N,114,158,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0
2,2024-05-01T06:18:03.000+05:30,2024-05-01T06:43:03.000+05:30,1,5.69,1,N,158,263,1,20.5,0.5,0.5,3.85,0,0.3,28.15,2.5,0
2,2024-05-01T05:32:25.000+05:30,2024-05-01T05:44:34.000+05:30,1,3.13,1,N,158,87,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
2,2024-05-01T06:13:33.000+05:30,2024-05-01T06:50:30.000+05:30,1,5.94,1,N,231,256,2,24,0.5,0.5,0,0,0.3,27.8,2.5,0
2,2024-05-01T05:32:58.000+05:30,2024-05-01T05:46:07.000+05:30,1,3.16,1,N,48,262,1,12.5,0.5,0.5,0,0,0.3,16.3,2.5,0
2,2024-05-01T06:02:26.000+05:30,2024-05-01T06:18:08.000+05:30,1,3.72,1,N,79,141,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5,0
1,2024-05-01T05:43:29.000+05:30,2024-05-01T05:50:17.000+05:30,3,1.3,1,N,4,137,1,7,3,0.5,2.15,0,0.3,12.95,2.5,0
2,2024-05-01T06:13:24.000+05:30,2024-05-01T06:19:44.000+05:30,3,1.41,1,N,237,236,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0
1,2024-05-01T05:44:27.000+05:30,2024-05-01T06:18:53.000+05:30,2,5.5,1,N,232,162,1,24,3,0.5,6.95,0,0.3,34.75,2.5,0
1,2024-05-01T06:28:51.000+05:30,2024-05-01T06:47:29.000+05:30,2,6.8,1,N,161,97,1,21.5,3,0.5,5.05,0,0.3,30.35,2.5,0
2,2024-05-01T05:31:08.000+05:30,2024-05-01T05:39:09.000+05:30,1,0.79,1,N,237,140,1,6.5,0.5,0.5,2.58,0,0.3,12.88,2.5,0
2,2024-05-01T05:45:07.000+05:30,2024-05-01T05:48:18.000+05:30,1,0.65,1,N,237,161,1,4.5,0.5,0.5,2.08,0,0.3,10.38,2.5,0
2,2024-05-01T05:59:27.000+05:30,2024-05-01T06:07:00.000+05:30,1,1.81,1,N,264,238,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0
2,2024-05-01T06:15:57.000+05:30,2024-05-01T06:30:36.000+05:30,1,3.81,1,N,239,116,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5,0
1,2024-05-01T05:52:47.000+05:30,2024-05-01T06:03:07.000+05:30,1,0.5,1,N,68,230,2,7.5,3,0.5,0,0,0.3,11.3,2.5,0
1,2024-05-01T06:11:13.000+05:30,2024-05-01T06:27:35.000+05:30,1,4.3,1,N,230,75,2,15,3,0.5,0,0,0.3,18.8,2.5,0
1,2024-05-01T05:57:20.000+05:30,2024-05-01T06:08:51.000+05:30,2,2.8,1,N,142,75,1,11,3,0.5,2.95,0,0.3,17.75,2.5,0
1,2024-05-01T06:24:29.000+05:30,2024-05-01T06:39:11.000+05:30,1,2.3,1,N,234,148,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5,0
2,2024-05-01T05:30:53.000+05:30,2024-05-01T05:34:16.000+05:30,2,1.13,1,N,263,237,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5,0
2,2024-05-01T05:42:52.000+05:30,2024-05-01T05:47:28.000+05:30,2,0.66,1,N,233,229,2,5,0.5,0.5,0,0,0.3,8.8,2.5,0
2,2024-05-01T05:49:21.000+05:30,2024-05-01T06:30:25.000+05:30,2,22.45,1,N,233,130,1,62.5,0.5,0.5,13.26,0,0.3,79.56,2.5,0
2,2024-05-01T05:34:43.000+05:30,2024-05-01T05:41:42.000+05:30,1,0.95,1,N,164,137,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,2024-05-01T05:45:10.000+05:30,2024-05-01T05:58:11.000+05:30,1,1.97,1,N,137,246,1,10,0.5,0.5,2.5,0,0.3,16.3,2.5,0
2,2024-05-01T06:08:08.000+05:30,2024-05-01T06:15:46.000+05:30,1,1.2,1,N,158,107,1,7,0.5,0.5,1.5,0,0.3,12.3,2.5,0
2,2024-05-01T06:17:45.000+05:30,2024-05-01T06:30:15.000+05:30,1,3.1,1,N,107,145,2,12,0.5,0.5,0,6.55,0.3,22.35,2.5,0
1,2024-05-01T05:57:50.000+05:30,2024-05-01T06:08:48.000+05:30,2,1.8,1,N,142,140,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5,0
1,2024-05-01T06:28:33.000+05:30,2024-05-01T06:39:05.000+05:30,1,1.7,1,N,79,90,1,9,3,0.5,2.55,0,0.3,15.35,2.5,0
2,2024-05-01T05:34:47.000+05:30,2024-05-01T05:46:39.000+05:30,1,2.19,1,N,161,107,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5,0
2,2024-05-01T05:58:58.000+05:30,2024-05-01T06:11:32.000+05:30,2,2.02,1,N,148,170,1,10,0.5,0.5,2,0,0.3,15.8,2.5,0
2,2024-05-01T06:19:36.000+05:30,2024-05-01T06:27:11.000+05:30,2,2.34,1,N,79,229,1,8.5,0.5,0.5,1.84,0,0.3,14.14,2.5,0
2,2024-05-01T06:29:21.000+05:30,2024-05-01T06:36:12.000+05:30,1,1.39,1,N,229,48,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0
1,2024-05-01T05:57:51.000+05:30,2024-05-01T06:23:05.000+05:30,1,8.6,1,N,138,152,2,27.5,1.75,0.5,0,6.55,0.3,36.6,0,1.25
2,2024-05-01T05:32:59.000+05:30,2024-05-01T05:35:40.000+05:30,1,0.7,1,N,68,158,1,4,0.5,0.5,1.4,0,0.3,9.2,2.5,0
2,2024-05-01T05:37:41.000+05:30,2024-05-01T05:44:36.000+05:30,1,1.22,1,N,249,125,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,2024-05-01T05:46:15.000+05:30,2024-05-01T05:52:05.000+05:30,1,1.21,1,N,125,158,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,2024-05-01T05:56:59.000+05:30,2024-05-01T06:10:48.000+05:30,1,2.19,1,N,249,246,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0
2,2024-05-01T06:11:08.000+05:30,2024-05-01T06:14:20.000+05:30,1,0.71,1,N,246,246,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5,0
2,2024-05-01T05:32:12.000+05:30,2024-05-01T05:46:26.000+05:30,1,1.44,1,N,231,148,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0
2,2024-05-01T05:48:16.000+05:30,2024-05-01T06:06:07.000+05:30,1,2.33,1,N,148,158,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5,0
2,2024-05-01T06:07:23.000+05:30,2024-05-01T06:25:24.000+05:30,1,2.54,1,N,158,100,1,13.5,0.5,0.5,2,0,0.3,19.3,2.5,0
2,2024-05-01T05:48:59.000+05:30,2024-05-01T06:19:54.000+05:30,1,7.22,1,N,90,228,1,26,0.5,0.5,7.45,0,0.3,37.25,2.5,0
2,2024-05-01T05:41:38.000+05:30,2024-05-01T05:47:58.000+05:30,2,1.59,1,N,107,229,1,7,0.5,0.5,1.2,0,0.3,12,2.5,0
2,2024-05-01T05:59:03.000+05:30,2024-05-01T06:07:22.000+05:30,2,1.68,1,N,234,79,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0
2,2024-05-01T06:11:19.000+05:30,2024-05-01T06:31:30.000+05:30,1,6.12,1,N,79,24,1,19.5,0.5,0.5,4.66,0,0.3,27.96,2.5,0
2,2024-05-01T05:43:35.000+05:30,2024-05-01T06:02:00.000+05:30,1,1.38,1,N,163,229,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5,0
